Model,R2,MAE,RMSE
Linear Regression,0.7604146143130637,2.1742314361267088,5.429848600806334
Random Forest,0.8905945404036233,1.4840460125184411,3.6692479158917135
XGBoost,0.8882425848569104,1.360048703359211,3.708478221967825
CatBoost,0.883627191392389,1.5184001992755636,3.7842804728826587
